episode,timestep,reward
1,2000,-30659.6709
3,4000,-30015.8917
5,6000,-30150.1385
7,8000,-30025.5806
9,10000,-29645.1073
11,12000,-29692.1525
13,14000,-29251.6359
15,16000,-29308.9872
17,18000,-29369.581
19,20000,-29283.2316
21,22000,-29246.9416
23,24000,-29382.0719
25,26000,-29106.3011
27,28000,-29275.569
29,30000,-29347.0801
31,32000,-29207.3259
33,34000,-29035.9126
35,36000,-28769.7066
37,38000,-28923.3241
39,40000,-28637.8667
41,42000,-28728.6295
43,44000,-28770.909
45,46000,-28467.8523
47,48000,-28352.069
49,50000,-27760.9551
51,52000,-28101.5063
53,54000,-27973.3178
55,56000,-27818.2988
57,58000,-27746.4249
59,60000,-27905.5393
61,62000,-27383.4542
63,64000,-27129.8839
65,66000,-26837.5696
67,68000,-26542.2601
69,70000,-27014.0962
71,72000,-26667.1326
73,74000,-27343.8693
75,76000,-27430.1213
77,78000,-26983.0032
79,80000,-27329.2217
81,82000,-26985.6892
83,84000,-26774.3168
85,86000,-26675.9504
87,88000,-27266.4277
89,90000,-26538.7827
91,92000,-26831.7943
93,94000,-26527.358
95,96000,-26407.9038
97,98000,-26424.6168
99,100000,-25937.8444
101,102000,-25726.6244
103,104000,-25886.5497
105,106000,-25337.4337
107,108000,-25906.4245
109,110000,-25347.9972
111,112000,-25098.1888
113,114000,-25365.4171
115,116000,-25151.1421
117,118000,-24939.9418
119,120000,-24943.7379
121,122000,-24897.2291
123,124000,-24646.9445
125,126000,-24603.6566
127,128000,-24315.9308
129,130000,-24010.0546
131,132000,-23920.5227
133,134000,-23488.8225
135,136000,-23284.9328
137,138000,-23210.0853
139,140000,-23295.4956
141,142000,-23316.9952
143,144000,-23450.0992
145,146000,-23755.785
147,148000,-23617.8726
149,150000,-23522.6423
151,152000,-23477.7793
153,154000,-23780.7346
155,156000,-23577.2431
157,158000,-22932.0651
159,160000,-22906.5406
161,162000,-22647.2536
163,164000,-23061.7032
165,166000,-22514.0286
167,168000,-22916.7902
169,170000,-22750.4685
171,172000,-22466.0232
173,174000,-22520.0218
